59,Spirit Guardians,Trading,16
217,Emerald Enchanters,Questing,15
274,Gold Brokers,PvP,14
9,Elemental Lords,Questing,14
16,The Righteous,Questing,13
105,Desert Nomads,Crafting,13
237,Sun Warriors,Healing,11
180,Shadow Society,Trading,11
73,Thieves of Time,PvP,11
47,Dragon Slayers,Exploration,10
83,Hands of Fate,Crafting,10
93,Heart of Courage,Crafting,10
13,Heart of Courage,Crafting,9
95,Wisdom Weavers,Crafting,9
110,Mind Over Matter,Exploration,9
201,Knights of Valor,Healing,9
66,The Righteous,Exploration,9
186,Wisdom Weavers,Mage Training,9
40,Mind Over Matter,Mage Training,9
43,Mind Over Matter,Questing,8
301,Prophets of Doom,Questing,8
138,Mind Over Matter,Trading,8
134,Spirit Guardians,Crafting,8
56,Artisans of Alchemy,Exploration,8
116,Mercenaries of Fortune,Crafting,8
5,Heroes of Harmony,Trading,7
194,Dragon Slayers,Knowledge,7
268,Artisans of Alchemy,Exploration,7
64,Mind Over Matter,Trading,7
50,Desert Nomads,Knowledge,7
141,Frostbite Clan,Crafting,7
76,Mind Over Matter,Questing,7
91,Circle of Druids,Crafting,6
265,The Wanderers,Exploration,6
67,Emerald Enchanters,Healing,6
248,Emerald Enchanters,PvP,5
14,The Forsaken,Crafting,5
290,The Righteous,Exploration,5
30,Seekers of Truth,Exploration,5
241,The Wanderers,Crafting,5
285,Defenders of Destiny,Exploration,5
114,Starborn Seekers,Spying,5
8,Hands of Fate,Questing,5
184,The Undying,Knowledge,5
53,Knights of Valor,Questing,5
178,Knights of Valor,Questing,5
202,Thieves of Time,Questing,5
65,The Silent Footsteps,PvP,5
225,Hands of Fate,Mage Training,5
307,Gold Brokers,Knowledge,5
189,Council of Elders,Mage Training,5
200,Storm Riders,Exploration,4
60,Elixir Masters,Healing,4
181,Starborn Seekers,PvP,4
203,Wizards of the Coast,Trading,4
244,Mind Over Matter,PvP,4
167,The Righteous,Questing,4
239,Spirit Guardians,Questing,4
148,Heralds of Hope,Crafting,4
280,Prophets of Doom,Exploration,4
117,Archmage Assembly,Exploration,4
101,The Forsaken,Questing,4
29,Heavenly Healers,Questing,4
10,Mind Over Matter,Crafting,4
109,Moonlit Mystics,Questing,4
90,Defenders of Destiny,Mage Training,3
161,Storm Riders,Trading,3
120,The Forsaken,Questing,3
130,The Silent Footsteps,Mage Training,3
49,Hands of Fate,Questing,1
283,Silver Lances,Trading,1
209,Hands of Fate,Spying,1
81,Dragon Slayers,Questing,1
231,Guardians of Light,Mage Training,1
1,The Wanderers,Questing,1
88,Circle of Druids,PvP,1
262,Hands of Fate,Healing,1
252,Starborn Seekers,PvP,0
